Title,Length,video_id,publish_date,views,url
Do Something Difficult Every Day | AMA #1 - Ask Me Anything with Lex Fridman,293,wKw1tpN7NVE,20200219,147230,https://www.youtube.com/watch?v=wKw1tpN7NVE
,,,,,
How to learn and master a new skill,578,_ySbzVXiwzQ,20201121,807817,https://www.youtube.com/watch?v=_ySbzVXiwzQ
,,,,,
Make Disadvantage Your Superpower | Lex Fridman | AMA #6,517,pXEl0R1BX-g,20200629,151610,https://www.youtube.com/watch?v=pXEl0R1BX-g
,,,,,
Who is Hedgy? - A Story of Minimalism | AMA #5 - Ask Me Anything with Lex Fridman,1126,KceRmxCnXDA,20200501,90452,https://www.youtube.com/watch?v=KceRmxCnXDA
,,,,,
Impostor Syndrome - Pave Your Own Path | AMA #4 - Ask Me Anything with Lex Fridman,1417,l5Uw8qG7vZU,20200302,238551,https://www.youtube.com/watch?v=l5Uw8qG7vZU
,,,,,
Dealing with Negative Comments | AMA #3 - Ask Me Anything with Lex Fridman,1031,GFB0o1QQyLw,20200228,39044,https://www.youtube.com/watch?v=GFB0o1QQyLw
,,,,,
Sleep and Burnout | AMA #2 - Ask Me Anything with Lex Fridman,257,wuJa1lnv_TQ,20200223,89243,https://www.youtube.com/watch?v=wuJa1lnv_TQ
,,,,,
Do Something Difficult Every Day | AMA #1 - Ask Me Anything with Lex Fridman,293,wKw1tpN7NVE,20200219,147230,https://www.youtube.com/watch?v=wKw1tpN7NVE
Deep Learning State of the Art (2020),5261,0VH1Lim8gL8,20200110,1356320,https://www.youtube.com/watch?v=0VH1Lim8gL8
Deep Learning Basics: Introduction and Overview,4086,O5xeyoRL95U,20190111,2507211,https://www.youtube.com/watch?v=O5xeyoRL95U
"The Art of Geopolitics, Part 1: Introduction",1162,EUowNpYL120,20200508,169568,https://www.youtube.com/watch?v=EUowNpYL120
"The Art of Geopolitics, Part 2: Human dimension",988,tXgtV_P87ZE,20200524,70137,https://www.youtube.com/watch?v=tXgtV_P87ZE
Art of Geopolitics Part 3: the Great Game,1834,w7mTuL1hfzA,20210316,13375,https://www.youtube.com/watch?v=w7mTuL1hfzA
